AvyYear,YYYY,MM,DD,Location,Setting,State,lat,lon,PrimaryActivity,TravelMode,Killed,Description,Date
2017,2016,12,10,Mt. Rose Chutes - Closed Area,SA-closed terrain,NV,39.319,-119.883,Inbounds Rider,Ski,1,"1 inbounds rider caught, buried, and killed",12/10/2016
2016,2016,4,11,"Summit Lake area, Eastern Alaska Range",BC,AK,63.135,-145.547,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, killed",4/11/2016
2016,2016,4,3,"Summit Lake area, Eastern Alaska Range",BC,AK,63.133,-145.518,Snowmobiler,Snowmobile,1,"2 snowmobilers caught, 1 partially buried, 1 buried and killed",4/3/2016
2016,2016,3,22,Cat Ski Mount Bailey,SA,OR,43.157,-122.217,Mechanized Guide,Ski,1,"Mechanised guide caught, killed",3/22/2016
2016,2016,3,8,"Chief Joseph Peak, Wallowa Mountains",BC,OR,45.383,-117.231,Backcountry Tourer,Ski,1,1 backcountry tourer partially buried-critical and killed,3/8/2016
2016,2016,2,27,Nelchina Glacier area,BC,AK,61.934,-147.163,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, killed",2/27/2016
2016,2016,2,26,Island Park,TN,ID,44.501,-111.337,Resident,Foot,1,"3 residents buried, 1 killed",2/26/2016
2016,2016,2,21,Grand Targhee Resort,BC,WY,43.787,-110.959,Sidecountry Rider,Foot,1,1 sidecountry rider killed in cornice fall,2/21/2016
2016,2016,2,19,Big Horn Mountains near Sheridan Wyoming,BC,WY,44.616,-107.386,Snowmobiler,Snowmobile,1,1 snowmobiler caught and killed,2/19/2016
2016,2016,2,5,"Cottonwood Pass, west of Buena Vista",BC,CO,38.788,-106.387,Snowbiker,Snowbike,1,"1 snow bike rider, caught, partially buried-critical, and killed",2/5/2016
2016,2016,2,2,"Lost Mine Creek, east of Wolf Creek Pass",BC,CO,37.492,-106.701,Snowmobiler,Snowmobile,1,"2 snowmobilers caught, 1 partially buried, 1 fully buried and killed",2/2/2016
2016,2016,1,31,Twin Lakes near Brundage Mountain,BC,ID,45.022,-116.129,Snowmobiler,Snowmobile,1,1 snowmobiler caught and killed,1/31/2016
2016,2016,1,31,"Willow Draw near Park City Mountain Resort, Utah",BC,UT,40.680,-111.599,Sidecountry Rider,Ski,1,"1 sidecountry rider, caught, buried and killed",1/31/2016
2016,2016,1,24,"Mt Herman, northeast of Mount Baker",BC,WA,48.866,-121.703,Backcountry Tourer,Foot,1,"2 backcountry tourers caught, 1 injured, 1 killed",1/24/2016
2016,2016,1,24,"Rock Springs drainage, south of Jackson Hole Mountain Resort",BC,WY,43.592,-110.878,Sidecountry Rider,Ski,2,"3 sidecountry riders caught, 2 buried and killed",1/24/2016
2016,2016,1,23,"Swede Creek area, Whitefish Range",BC,MT,48.656,-114.558,Snowmobiler,Snowmobile,1,"2 snowmobilers caught, 1 partially buried not-critical, 1 buried and killed.",1/23/2016
2016,2016,1,22,"Red Mountain, Clear Creek County",BC,CO,39.752,-105.839,Backcountry Tourer,Snowboard,1,"1 backcountry tourer caught, killed",1/22/2016
2016,2016,1,21,"Gobblers Knob, Big Cottonwood Canyon",BC,UT,40.666,-111.686,Backcountry Tourer,Ski,1,"2 backcountry tourers caught, 1 partially buried, 1 buried",1/21/2016
2016,2016,1,21,"Ruby Peak, Ruby Range west of Crested Butte",BC,CO,38.896,-107.126,Snowmobiler,Snowmobile,1,"2 snowmobilers caught, 1 partially buried uninjured, 1 fully buried and killed",1/21/2016
2016,2016,1,19,"Cedar Basin, west of Big Sky",BC,MT,45.267,-111.296,Backcountry Tourer,Ski,1,1 backcountry tourer caught and killed,1/19/2016
2016,2016,1,19,"Pyramid Peak, Teton Range",BC,WY,43.582,-110.826,Backcountry Tourer,Snowboard,1,"1 backcountry tourer caught, buried, and killed",1/19/2016
2016,2016,1,16,"Skyscraper Mountain, Hatcher Pass",BC,AK,61.773,-149.308,Backcountry Tourer,Snowboard,1,1 backcountry snowboarder fully buried and killed,1/16/2016
2016,2016,1,16,"St Marys Lake, Front Range",BC,CO,39.833,-105.648,Climber,Foot,1,"1 climber caught, buried, killed.",1/16/2016
2016,2016,1,14,Backcountry near Sugar Bowl Ski Resort,BC,CA,39.314,-120.339,Sidecountry Rider,Ski,1,"1 sidecountry rider caught, killed",1/14/2016
2016,2016,1,2,"Grubstake Gulch, southwest of Hatcher Pass",BC,AK,61.770,-149.312,Snowmobiler,Snowmobile,1,1 snowmobiler buried and killed,1/2/2016
2016,2015,12,31,Granite Mountain near Snoqualmie Pass,BC,WA,47.427,-121.418,Hiker,Snowshoe,1,1 hiker killed,12/31/2015
2016,2015,12,19,"Kendall Peak, Snoqualmie Pass",BC,WA,47.440,-121.384,Backcountry Tourer,Ski,1,"1 backcountry tourer caught, killed",12/19/2015
2016,2015,12,19,"Sheep Mountain, north of Cooke City",BC,MT,45.072,-109.928,Snowmobiler,Snowmobile,1,"3 snowmoiblers caught, 1 fully buried and killed",12/19/2015
2016,2015,11,22,"Eldorado Bowl, Hatcher Pass",BC,AK,61.780,-149.289,Backcountry Tourer,,1,"1 backcountry tourer caught, buried, and killed",11/22/2015
2016,2015,11,5,"Mt Russell, John Muir Wilderness",BC,CA,36.590,-118.291,Hiker,Foot,1,"1 hiker caught, buried, and killed",11/5/2015
2015,2015,5,17,"Sickle Couloir, Mount Moran",BC,WY,43.841,-110.768,Backcountry Tourer,Ski,2,"4 backcountry tourers caught, 1 injured, 2 killed",5/17/2015
2015,2015,4,11,"Beehive Peak, northern Madison Range",BC,MT,45.343,-111.397,Backcountry Tourer,Ski,1,"1 backcountry tourer caught, killed",4/11/2015
2015,2015,4,1,"North of Tebay Lakes, Wrangell-St. Elias National Park and Preserve",BC,AK,61.258,-144.316,Backcountry Tourer,Ski,1,1 backcountry tourer killed in cornice collapse,4/1/2015
2015,2015,3,14,"Squaw Creek, near Cantwell",BC,AK,63.237,-149.299,Snowmobiler,Foot,1,"1 snowmobiler caught, buried, lated succumbed to injuries",3/14/2015
2015,2015,3,4,"Hells Canyon, near Snowbasin Ski Resort",BC,UT,41.209,-111.880,Sidecountry Rider,Snowboard,1,"1 sidecountry rider caught, buried, and killed",3/4/2015
2015,2015,2,23,"Peter Barker path, near Aspen Mountain",BC,CO,39.164,-106.830,Sidecountry Rider,Ski,1,"1 sidecountry rider caught, buried, and killed",2/23/2015
2015,2015,1,6,"Rabbit Ears path, Kendall Mountain",BC,CO,37.802,-107.650,Backcountry Tourer,Ski,1,"One backcountry skier, caught, carried, partially buried, and killed",1/6/2015
2015,2014,12,31,Kelso Mountain,BC,CO,39.654,-105.797,Climber,Snowshoe,1,"One climber, traveling on snowshoes, caught, buried, and killed",12/31/2014
2015,2014,12,6,"Rainbow Ridge area, Delta Range",BC,AK,63.308,-145.688,Backcountry Tourer,Ski,1,"2 backcountry tourers caught, 1 injured,1 killed",12/6/2014
2015,2014,11,26,"Near Henderson Peak, Cooke City",BC,MT,45.040,-109.944,Snowmobiler,Snowmobile,1,"One snowmobiler caught, buried, and killed",11/26/2014
2014,2014,5,28,"Liberty Ridge, Mount Rainier",BC,WA,46.854,-121.759,Climber,Foot,6,"6 climbers caught, buried and killed",5/28/2014
2014,2014,5,14,North face of Mount Shuksan,BC,WA,48.831,-121.603,Backcountry Tourer,Foot,1,1 backcountry tourer (on ascent) caught and killed,5/14/2014
2014,2014,5,3,"Olson Gulch, west of Anaconda",BC,MT,46.165,-113.088,Backcountry Tourer,Ski,1,"1 backcountry skier caught, died on scene",5/3/2014
2014,2014,4,28,Crater Lake National Park,BC,OR,42.942,-122.104,Hiker,Snowshoe,1,1 snowshoer caught in cornice fall,4/28/2014
2014,2014,4,14,"Paulina Peak, south of Bend",BC,OR,43.725,-121.231,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",4/14/2014
2014,2014,4,3,Granite Mountain,BC,WA,47.430,-121.630,Backcountry Tourer,Ski,1,"1 backcountry tourer caught, buried, and killed",4/3/2014
2014,2014,3,19,"Kicking Horse Valley, west of Haines",BC,AK,59.175,-135.944,Mechanized Guide,Ski,1,"1 heliski guide caught, buried, and died from injuries",3/19/2014
2014,2014,3,11,"Cooke City, Montana",BC,MT,45.050,-109.963,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",3/11/2014
2014,2014,3,10,"Altoona, about 10 miles northeast of Philipsburg, Montana",BC,MT,46.222,-113.143,Backcountry Tourer,Ski,1,1 skier caught and killed,3/10/2014
2014,2014,3,7,"Gold Hill, Uinta Mountains",BC,UT,40.813,-110.897,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",3/7/2014
2014,2014,3,5,"Sharkstooth Peak, La Plata Mountains",BC,CO,37.461,-108.069,Snowmobiler,Snowmobile,1,"1 snowmobiler fully buried, missing and presumed dead",3/5/2014
2014,2014,3,4,"Diablo Ridge, Pt. 12,505, approx. 1 mile W of Conejos Peak",BC,CO,37.292,-106.569,Ski Patroller,Ski,1,"1 snowmobiler fully buried, missing and presumed dead",3/4/2014
2014,2014,2,28,"Mount Jumbo, Missoula",TN,MT,46.879,-113.956,Resident,Foot,1,"1 snowplayer and 2 residents caught and buried, 1 resident killed",2/28/2014
2014,2014,2,22,"Troy, West Cabinet Mountain Range",BC,MT,48.241,-116.031,Snowmobiler,Snowmobile,1,"2 snowmobilers caught, 1 partly buried and 1 buried and killed",2/22/2014
2014,2014,2,18,Near Togwotee Pass,BC,WY,43.752,-110.068,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",2/18/2014
2014,2014,2,16,"Frenchman Creek, northwest of Galena Summit",BC,ID,43.870,-114.713,Snowmobiler,Foot,1,"4 snowmobilers caught and buried, 1 killed",2/16/2014
2014,2014,2,15,"Star Mountain, near Twin Lakes",BC,CO,39.060,-106.525,Backcountry Tourer,Ski,2,"5 skiers caught, 3 injured, 2 killed",2/15/2014
2014,2014,2,11,"SW face of Cornucopia Peak, Wallowa Mountains",BC,OR,45.049,-117.247,Human-powered Guide Client,Ski,2,"5 backcountry skiers caught, 1 uninjured, 2 injured, 2 killed",2/11/2014
2014,2014,2,10,Left Fork Huntington Creek,BC,UT,39.585,-111.266,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",2/10/2014
2014,2014,2,10,"Near Kebler Pass, west of Crested Butte",BC,CO,38.852,-107.098,Snowmobiler,Snowmobile,1,"2 snowmobilers caught, 1 partially buried, 1 buried and killed",2/10/2014
2014,2014,2,10,"North Fork Swan River, south of Keystone Ski Area",BC,CO,39.542,-105.906,Sidecountry Rider,Ski,1,"2 skiers caught, 1 partially buried, 1 buried and killed",2/10/2014
2014,2014,2,8,Near Tibble Fork Reservoir,BC,UT,40.481,-111.647,Snowplayer,Snowshoe,1,"1 snowshoer caught, buried, and killed",2/8/2014
2014,2014,1,18,"Lewis Peak, Cascades north of Stevens Pass",BC,WA,48.006,-121.463,Climber,Foot,1,"2 skiers caught, 1 partially buried, 1 buried and killed",1/18/2014
2014,2014,1,7,"East Vail, backcountry southeast of Vail Ski Area",BC,CO,39.601,-106.301,Sidecountry Rider,Ski,1,"4 riders caught, 1 injured, 1 killed",1/7/2014
2014,2014,1,1,"Onion Basin, northern Gallatin Range",BC,MT,45.289,-111.398,Snowmobiler,Snowmobile,1,"2 snowmobilers caught, 1 buried and killed",1/1/2014
2014,2013,12,31,"Parkview Mountain, west of Willow Creek Pass",BC,CO,40.342,-106.120,Backcountry Tourer,Snowboard,1,One backcountry traveler buried and killed,12/31/2013
2014,2013,12,26,"Neely's, Palisades Peak",BC,ID,43.442,-111.088,Snowmobiler,Snowmobile,1,"One snowmobiler, caught, buried and killed",12/26/2013
2014,2013,12,26,"Pucker Face, near Jackson Hole Mountain Resort",BC,WY,43.555,-110.839,Sidecountry Rider,Ski,1,"One skier caught, buried, and killed",12/26/2013
2013,2013,4,20,"Sheep Creek, north of Loveland Pass",BC,CO,39.679,-105.868,Backcountry Tourer,Snowboard,5,"6 backcountry tourers caught, 1 partially buried, 5 buried and killed",4/20/2013
2013,2013,4,18,"Ptarmigan Hill, near Vail Pass",BC,CO,39.496,-106.261,Hybrid Rider,Snowboard,1,1 snowboarder caught and killed,4/18/2013
2013,2013,4,13,Granite Mountain near Snoqualmie Pass,BC,WA,47.416,-121.480,Hiker,Snowshoe,1,"Three climbers caught, two injured, one buried and killed",4/13/2013
2013,2013,4,13,"Red Mountain, near Snoqualmie Pass",BC,WA,47.456,-121.389,Hiker,Snowshoe,1,1 snowboarder caught and killed,4/13/2013
2013,2013,4,11,"Kessler Peak, Big Cottonwood Canyon",BC,UT,40.629,-111.666,Highway Personnel,Ski,1,1 skier caught and killed,4/11/2013
2013,2013,3,17,"Ypsilon Mountain, Rocky Mountain National Park",BC,CO,40.456,-105.677,Climber,Foot,1,"2 climbers caught, 2 injured, 1 killed",3/17/2013
2013,2013,3,3,"Takhinsha Mountains, southwest of Haines",BC,AK,59.234,-135.448,Mechanized Guiding Client,Snowboard,1,"4 heliskiers caught in cornice fall, 2 injured, 1 killed",3/3/2013
2013,2013,3,2,"Nokhu Crags, Never Summer Mountains",BC,CO,40.491,-105.890,Backcountry Tourer,Ski,1,"2 skiers caught, 1 partially buried-critical and injured, 1 buried and killed",3/2/2013
2013,2013,3,1,"12 Mile Canyon, Manti Skyline",BC,UT,39.044,-111.519,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",3/1/2013
2013,2013,3,1,"Prospectors Mountain, Grand Teton National Park",BC,WY,43.656,-110.832,Backcountry Tourer,Ski,1,1 ski mountaineer caught and killed,3/1/2013
2013,2013,3,1,"Huntington Ravine, Mount Washington",BC,NH,44.275,-71.286,Climber,Foot,1,1 climber caught and killed,3/1/2013
2013,2013,2,2,"Cement Creek, near Silverton",BC,CO,37.898,-107.653,Backcountry Tourer,Ski,1,"3 skiers caught, 1 buried and killed, 1 partially buried, 1 injured",2/2/2013
2013,2013,1,27,"Survey Peak, Grand Teton National Park",BC,WY,44.037,-110.845,Backcountry Tourer,Ski,1,1 backcountry tourer caught and killed,1/27/2013
2013,2013,1,27,"Clause Creek, southwest of Hoback Canyon",BC,WY,43.161,-110.570,Backcountry Tourer,Ski,1,1 backcountry tourer caught and killed,1/27/2013
2013,2013,1,18,"Mill Hollow, West Fork Duchesne",BC,UT,40.482,-111.031,Snowmobiler,Foot,2,"3 snowmobilers caught on foot, 2 buried and killed",1/18/2013
2013,2013,1,13,"Raspberry Creek, near Marble",BC,CO,39.050,-107.195,Backcountry Tourer,Ski,1,"1 skier caught, buried, and killed",1/13/2013
2013,2012,12,30,"Ships Prow Glades, Snowmass Ski Area",SA,CO,39.173,-106.875,Ski Patroller,Ski,1,1 ski patroller killed,12/30/2012
2013,2012,12,24,Donner Ski Ranch,SA,CA,39.318,-120.330,Inbounds Rider,Snowboard,1,"1 snowboarder caught, buried, and killed",12/24/2012
2013,2012,12,24,Alpine Meadows Ski Area,SA,CA,39.178,-120.228,Ski Patroller,Ski,1,"1 ski patroller caught, buried and killed",12/24/2012
2012,2012,6,14,"West Buttress, Denali",BC,AK,63.070,-151.006,Climber,Foot,4,,6/14/2012
2012,2012,3,30,"Ophir Pass, Paradise Basin",BC,CO,37.842,-107.781,Backcountry Tourer,Ski,1,,3/30/2012
2012,2012,3,13,"Takin Ridge, northwest of Haines",BC,AK,59.303,-136.036,Mechanized Guide,Ski,2,,3/13/2012
2012,2012,3,7,"Ranger Peak, Grand Teton National Park",BC,WY,43.929,-110.763,Backcountry Tourer,Ski,2,,3/7/2012
2012,2012,3,3,"Beaver Basin, La Sal Mountains",BC,UT,38.539,-109.210,Snowmobiler,Snowmobile,1,,3/3/2012
2012,2012,3,2,"Forestdale Divide, Carson Pass",BC,CA,38.669,-119.956,Snowmobiler,Snowmobile,1,,3/2/2012
2012,2012,3,1,"Polaris Point, Ward Canyon",BC,CA,39.135,-120.204,Backcountry Tourer,Ski,1,,3/1/2012
2012,2012,2,27,"SE of Grouse Mountain, Togwotee Pass",BC,WY,43.707,-110.224,Snowmobiler,Snowmobile,1,,2/27/2012
2012,2012,2,25,"Skyline Creek, near Marias Pass",BC,MT,48.281,-113.349,Snowbiker,Snowbike,1,,2/25/2012
2012,2012,2,23,"Dutch Draw, Park City Ridgeline",BC,UT,40.651,-111.592,Sidecountry Rider,Snowboard,1,,2/23/2012
2012,2012,2,22,"Daisy Pass Road, north of Cooke City",BC,MT,45.038,-109.943,Snowmobiler,Snowmobile,1,,2/22/2012
2012,2012,2,20,"Lost Johnny drainage, east of Kaispell",BC,MT,48.244,-114.004,Snowmobiler,Snowmobile,1,,2/20/2012
2012,2012,2,19,WAC Bluffs near Aplental Ski Area,BC,WA,47.404,-121.415,Sidecountry Rider,Snowboard,1,,2/19/2012
2012,2012,2,19,"Tunnel Creek, near Stevens Pass",BC,WA,47.731,-121.102,Sidecountry Rider,Ski,3,,2/19/2012
2012,2012,2,16,"Gibbs Creek, near Wolf Creek Pass",BC,CO,37.502,-106.800,Backcountry Tourer,Ski,1,,2/16/2012
2012,2012,2,13,"Contention Fingers, Bear Creek, Telluride",BC,CO,37.922,-107.810,Sidecountry Rider,Snowboard,1,,2/13/2012
2012,2012,2,5,Lost Creek Reservior,BC,UT,38.716,-111.722,Snowmobiler,Snowmobile,1,,2/5/2012
2012,2012,2,1,"Twin Lakes, Swan Range",BC,MT,48.184,-113.945,Backcountry Tourer,Ski,1,,2/1/2012
2012,2012,1,28,"Little Giant, West Kessler, Big Cottonwood Canyon",BC,UT,40.622,-111.670,Backcountry Tourer,Snowboard,1,,1/28/2012
2012,2012,1,22,"Prima Cornice, Vail",SA,CO,39.613,-106.355,Inbounds Rider,Ski,1,,1/22/2012
2012,2012,1,22,"Trestle Trees, Winter Park",SA,CO,39.887,-105.761,Inbounds Rider,Ski,1,,1/22/2012
2012,2012,1,21,"Chedsey Creek, North Park",BC,CO,40.564,-106.643,Snowmobiler,Snowmobile,1,,1/21/2012
2012,2012,1,18,Burnt Mountain near Snowmass Village,BC,CO,39.180,-106.923,Sidecountry Rider,Ski,1,,1/18/2012
2012,2012,1,1,"Phillipsburg, Flint Range, Red Lion",BC,MT,46.288,-113.200,Snowmobiler,Snowmobile,1,,1/1/2012
2012,2011,12,31,"Henderson Mountain, near Cooke City",BC,MT,45.054,-109.924,Snowmobiler,Snowmobile,1,,12/31/2011
2012,2011,12,31,"Hayden Creek, south of Cooke City",BC,MT,44.988,-109.900,Backcountry Tourer,Ski,1,,12/31/2011
2012,2011,11,13,"Gad Valley, Little Cottonwood Canyon",BC,UT,40.569,-111.653,Backcountry Tourer,Snowboard,1,,11/13/2011
2011,2011,5,22,"Mount Frances, Denali National Park",BC,AK,62.989,-151.163,Climber,Foot,2,,5/22/2011
2011,2011,5,21,Torreys Peak,BC,CO,39.645,-105.818,Backcountry Tourer,Snowboard,1,,5/21/2011
2011,2011,4,28,Ruth Gorge,BC,AK,0.000,0.000,Climber,Foot,1,,4/28/2011
2011,2011,4,26,"Split Mountain, south of Bishop",BC,CA,37.021,-118.422,Backcountry Tourer,Ski,2,,4/26/2011
2011,2011,4,18,"Bird Ridge, Chugach State Park",BC,AK,0.000,0.000,Snowplayer,"Sled, tube, or saucer",1,,4/18/2011
2011,2011,4,16,"Garnet Canyon Meadows, Grand Teton National Park",BC,WY,0.000,0.000,Backcountry Tourer,Foot,2,,4/16/2011
2011,2011,4,4,"Highlands Ridge, Desolation Row, Aspen zone",BC,CO,39.134,-106.885,Sidecountry Rider,SKi,1,,4/4/2011
2011,2011,3,27,"Back country to the west of Stevens Pass, WA. Backside of Cowboy Mountain",BC,WA,0.000,0.000,Backcountry Tourer,Snowboard,1,,3/27/2011
2011,2011,3,26,"Horsehoe Mountain, Manti Skyline",BC,UT,0.000,0.000,Backcountry Tourer,Ski,1,,3/26/2011
2011,2011,3,19,"Bald Mountain, Hatcher Pass",BC,AK,0.000,0.000,Backcountry Tourer,Ski,1,,3/19/2011
2011,2011,3,5,Mount Cashmere,BC,WA,0.000,0.000,Backcountry Tourer,Ski,1,,3/5/2011
2011,2011,2,22,"East Snowmass Creek Valley, Sand's Chute",BC,CO,39.177,-106.975,Backcountry Tourer,Ski,1,,2/22/2011
2011,2011,2,20,Sand Peak-Flat Tops,BC,CO,40.117,-107.378,Snowmobiler,Snowmobile,1,,2/20/2011
2011,2011,2,14,"Truman Gulch, Bridger Range",BC,MT,45.809,-110.933,Backcountry Tourer,Snowboard,1,,2/14/2011
2011,2011,2,1,"Red Mountain, Snoqualmie Pass Washington",BC,WA,0.000,0.000,Backcountry Tourer,Ski,1,,2/1/2011
2011,2011,1,17,"""High Trail Cliffs,"" northeast of Berthoud Pass",BC,CO,39.802,-105.770,Backcountry Tourer,Snowboard,1,,1/17/2011
2011,2011,1,8,"Near Hungry Horse Reservoir, east of Kalispell",BC,MT,0.000,0.000,Snowmobiler,Snowmobile,1,,1/8/2011
2011,2010,12,29,20 miles northeast of Calder,BC,ID,0.000,0.000,Snowmobiler,Snowmobile,1,,12/29/2010
2011,2010,12,5,Dry Gulch-East of Eisenhower Tunnel,BC,CO,39.763,-106.098,Backcountry Tourer,Ski,1,,12/5/2010
2011,2010,12,4,"Morning Star Peak, north central Washington Cascades",BC,WA,0.000,0.000,Climber,Foot,1,,12/4/2010
2011,2010,11,26,"Cherry Hill, western Uinta Mountains",BC,UT,0.000,0.000,Snowmobiler,Snowmobile,1,,11/26/2010
2011,2010,11,22,"Wolf Creek Pass Ski Area, Glory Hole Point",SA,CO,37.460,-106.800,Ski Patroller,Ski,1,,11/22/2010
2010,2010,6,14,"Lolo Peak, west of Missoula, MT",BC,MT,0.000,0.000,Backcountry Tourer,Ski,1,,6/14/2010
2010,2010,6,5,"Ingraham Direct Route, Mount Rainier",BC,WA,0.000,0.000,Climber,Foot,1,,6/5/2010
2010,2010,5,29,"Ruth Gorge, Denali National Park",BC,AK,0.000,0.000,Climber,Foot,2,,5/29/2010
2010,2010,4,14,McAtee Basin south of Big Sky,BC,MT,0.000,0.000,Snowmobiler,Snowmobile,1,,4/14/2010
2010,2010,4,4,Francis Peak northwest of Farmington,BC,UT,0.000,0.000,Snowmobiler,Snowmobile,1,,4/4/2010
2010,2010,4,2,Indian Creek drainage northwest of Alpine,BC,WY,0.000,0.000,Snowmobiler,Snowmobile,1,,4/2/2010
2010,2010,3,30,"Near Baldy Peak, east of Ridgway",BC,CO,38.123,-107.673,Climber,Ski,1,,3/30/2010
2010,2010,3,30,"Peak 6996 near Marias Pass, Glacier NP",BC,MT,0.000,0.000,Backcountry Tourer,Snowboard,1,,3/30/2010
2010,2010,3,30,"Loyds Lake, McCall",BC,ID,0.000,0.000,Snowmobiler,Snowmobile,2,,3/30/2010
2010,2010,3,27,"Missoula Lake 10 miles SW of Superior, MT",BC,MT,0.000,0.000,Snowmobiler,Snowmobile,1,,3/27/2010
2010,2010,3,19,Southwest of Creede,TN,CO,37.744,-107.104,Resident,Foot,2,,3/19/2010
2010,2010,3,13,"North of Schweitzer Ski Area, Idaho Panhandle",BC,ID,0.000,0.000,Snowmobiler,Snowmobile,1,,3/13/2010
2010,2010,3,12,Mt Antora,BC,CO,38.329,-106.237,Snowmobiler,Snowmobile,1,,3/12/2010
2010,2010,3,10,"Steep Gully #1, west of Arapahoe Basin Ski Area",BC,CO,39.636,-105.885,Backcountry Tourer,Snowboard,1,,3/10/2010
2010,2010,2,23,Lindley Backcountry Hut south of Aspen,BC,CO,39.005,-106.802,Backcountry Tourer,Ski,1,,2/23/2010
2010,2010,2,21,"South Teton, Grand Teton NP",BC,WY,0.000,0.000,Backcountry Tourer,Ski,1,,2/21/2010
2010,2010,2,13,"South Fork Eagle River, Alaska Three Bowls",BC,AK,61.245,-149.438,Backcountry Tourer,Ski,1,,2/13/2010
2010,2010,2,13,"Grandview, Placer River Drainage, Chugach NF",BC,AK,60.634,-149.072,Snowmobiler,Snowmobile,2,,2/13/2010
2010,2010,2,11,"Near the Ridgway Hut, San Juan Mountains",BC,CO,38.027,-107.768,Backcountry Tourer,Ski,1,,2/11/2010
2010,2010,2,6,"North Fork of Murphy Creek, Wyoming Range",BC,WY,0.000,0.000,Snowmobiler,Snowmobile,1,,2/6/2010
2010,2010,1,30,Garns Mtn in the Big Hole Range west of Driggs,BC,ID,0.000,0.000,Snowmobiler,Snowmobile,1,,1/30/2010
2010,2010,1,29,"Grandview Pk, Session Mtns east of Bountiful",BC,UT,0.000,0.000,Snowmobiler,Snowmobile,1,,1/29/2010
2010,2010,1,28,"Near Boardman Pass, Soldier Mountains",BC,ID,0.000,0.000,Snowmobiler,Snowmobile,1,,1/28/2010
2010,2010,1,27,"Meadows, Silver Fork, UT",BC,UT,0.000,0.000,Backcountry Tourer,Ski,1,,1/27/2010
2010,2010,1,24,"Hells Canyon, Snowbasin Backcountry",BC,UT,0.000,0.000,Backcountry Tourer,Ski,1,,1/24/2010
2010,2010,1,22,Off trail run in bounds at Sun Valley Ski Resort,SA,ID,0.000,0.000,Inbounds Rider,Ski,1,,1/22/2010
2010,2010,1,6,"Battle Mountain, Vail sidecountry",BC,CO,39.560,-106.340,Backcountry Tourer,Snowboard,1,,1/6/2010
2010,2010,1,6,"Cheyenne Bowl, Jackson Hole Mountain Resort",SA,WY,0.000,0.000,Ski Patroller,Ski,1,,1/6/2010
2010,2010,1,4,Scotch Bonnet Mountain near Cooke City,BC,MT,0.000,0.000,Snowmobiler,Snowmobile,1,,1/4/2010
2010,2010,1,2,Near Paulina Peak,BC,OR,0.000,0.000,Snowmobiler,Snowmobile,1,,1/2/2010
2010,2009,12,18,Rock Lake west of Cascade,BC,ID,0.000,0.000,Snowmobiler,Snowmobile,1,,12/18/2009
2010,2009,12,10,Hyalite Canyon outside of Bozeman,BC,MT,0.000,0.000,Climber,Foot,1,,12/10/2009
2009,2009,4,18,Thompson Pass,BC,AK,0.000,0.000,Snowmobiler,Snowmobile,1,,4/18/2009
2009,2009,4,5,"Norton Creek, 20 MILES west of Ketchum",BC,ID,0.000,0.000,Snowmobiler,Snowmobile,1,,4/5/2009
2009,2009,3,25,"Johnson Pass, Kenai Peninsula",BC,AK,0.000,0.000,Snowmobiler,Snowmobile,1,,3/25/2009
2009,2009,3,7,"Aneroid Basin, Eagle Cap Wilderness",BC,OR,0.000,0.000,Backcountry Tourer,Ski,1,,3/7/2009
2009,2009,3,6,"Gladiator Ridge, north of Sun Valley",BC,ID,0.000,0.000,Backcountry Tourer,Ski,1,,3/6/2009
2009,2009,3,3,Squaw Valley,SA,CA,0.000,0.000,Ski Patroller,Ski,1,,3/3/2009
2009,2009,2,27,"Indian Peak area, Sanke River Range",BC,WY,0.000,0.000,Snowmobiler,Snowmobile,3,,2/27/2009
2009,2009,2,27,"Trapper Creek, North of Priest Lake",BC,ID,0.000,0.000,Snowmobiler,Snowmobile,1,,2/27/2009
2009,2009,2,21,Maggies Peaks,BC,CA,0.000,0.000,Backcountry Tourer,Ski,1,,2/21/2009
2009,2009,1,17,Hell Roaring drainage South of Mt Jefferson,BC,MT,0.000,0.000,Snowmobiler,Snowmobile,1,,1/17/2009
2009,2009,1,17,Northeast facing slope on Crown Butte,BC,MT,0.000,0.000,Snowmobiler,Snowmobile,1,,1/17/2009
2009,2009,1,17,Black Butte area of the Gravelly Range,BC,MT,0.000,0.000,Snowmobiler,Snowmobile,1,,1/17/2009
2009,2009,1,2,Near Cody,BC,WY,0.000,0.000,Climber,Foot,1,,1/2/2009
2009,2008,12,30,Rockford,TN,WA,0.000,0.000,Resident,Foot,1,,12/30/2008
2009,2008,12,29,"Yamaha Hill, western Uintas",BC,UT,0.000,0.000,Snowmobiler,Snowmobile,1,,12/29/2008
2009,2008,12,28,"Tatie Peak, near Harts Pass",BC,WA,0.000,0.000,Snowmobiler,Snowmobile,1,,12/28/2008
